Country,Continent,iso_code,Sub Region,total_cases,total_deaths
Afghanistan,Asia,AFG,Southern Asia,6402,168
Albania,Europe,ALB,Southern Europe,933,31
Algeria,Africa,DZA,Northern Africa,6821,542
Andorra,Europe,AND,Southern Europe,761,51
Angola,Africa,AGO,Middle Africa,48,2
Anguilla,Americas,AIA,Caribbean,3,0
Antigua and Barbuda,Americas,ATG,Caribbean,25,3
Argentina,Americas,ARG,South America,7792,363
Armenia,Asia,ARM,Western Asia,4283,55
Aruba,Americas,ABW,Caribbean,101,3
Australia,Oceania,AUS,Australia and New Zealand,7036,98
Austria,Europe,AUT,Western Europe,16140,628
Azerbaijan,Asia,AZE,Western Asia,3138,36
Bahamas,Americas,BHS,Caribbean,96,11
Bahrain,Asia,BHR,Western Asia,6747,12
Bangladesh,Asia,BGD,Southern Asia,20995,314
Barbados,Americas,BRB,Caribbean,86,7
Belarus,Europe,BLR,Eastern Europe,28681,160
Belgium,Europe,BEL,Western Europe,54989,9005
Belize,Americas,BLZ,Central America,18,2
Benin,Africa,BEN,Western Africa,339,2
Bermuda,Americas,BMU,Northern America,123,9
Bhutan,Asia,BTN,Southern Asia,21,0
Bolivia,Americas,BOL,South America,3826,165
Bonaire Sint Eustatius and Saba,Americas,BES,Caribbean,6,0
Bosnia and Herzegovina,Europe,BIH,Southern Europe,2267,129
Botswana,Africa,BWA,Southern Africa,24,1
Brazil,Americas,BRA,South America,233142,15633
Brunei,Asia,BRN,South-Eastern Asia,141,1
Bulgaria,Europe,BGR,Eastern Europe,2211,108
Burkina Faso,Africa,BFA,Western Africa,782,51
Burundi,Africa,BDI,Eastern Africa,27,1
Cambodia,Asia,KHM,South-Eastern Asia,122,0
Cameroon,Africa,CMR,Middle Africa,3292,140
Canada,Americas,CAN,Northern America,75853,5679
Cape Verde,Africa,CPV,Western Africa,328,3
Cayman Islands,Americas,CYM,Caribbean,94,1
Central African Republic,Africa,CAF,Middle Africa,327,0
Chad,Africa,TCD,Middle Africa,474,50
Chile,Americas,CHL,South America,41428,421
China,Asia,CHN,Eastern Asia,84044,4638
Colombia,Americas,COL,South America,14939,562
Comoros,Africa,COM,Eastern Africa,11,1
Congo,Africa,COG,Middle Africa,412,15
Democratic Republic of Congo,Africa,COD,Middle Africa,1454,60
Costa Rica,Americas,CRI,Central America,853,10
Cote d'Ivoire,Africa,CIV,Western Africa,2061,25
Croatia,Europe,HRV,Southern Europe,2224,95
Cuba,Americas,CUB,Caribbean,1862,79
Curacao,Americas,CUW,Caribbean,16,1
Cyprus,Asia,CYP,Western Asia,914,17
Czech Republic,Europe,CZE,Eastern Europe,8455,296
Denmark,Europe,DNK,Northern Europe,10858,543
Djibouti,Africa,DJI,Eastern Africa,1331,4
Dominica,Americas,DMA,Caribbean,16,0
Dominican Republic,Americas,DOM,Caribbean,11893,424
Ecuador,Americas,ECU,South America,32763,2688
Egypt,Africa,EGY,Northern Africa,11719,612
El Salvador,Americas,SLV,Central America,1265,26
Equatorial Guinea,Africa,GNQ,Middle Africa,594,7
Eritrea,Africa,ERI,Eastern Africa,39,0
Estonia,Europe,EST,Northern Europe,1770,63
Ethiopia,Africa,ETH,Eastern Africa,306,5
Falkland Islands,Americas,FLK,South America,13,0
Faeroe Islands,Europe,FRO,Northern Europe,187,0
Fiji,Oceania,FJI,Melanesia,18,0
Finland,Europe,FIN,Northern Europe,6286,297
France,Europe,FRA,Western Europe,142291,27625
French Polynesia,Oceania,PYF,Polynesia,60,0
Gabon,Africa,GAB,Middle Africa,1320,11
Gambia,Africa,GMB,Western Africa,23,1
Georgia,Asia,GEO,Western Asia,695,12
Germany,Europe,DEU,Western Europe,174355,7914
Ghana,Africa,GHA,Western Africa,5735,29
Gibraltar,Europe,GIB,Southern Europe,147,0
Greece,Europe,GRC,Southern Europe,2819,162
Greenland,Americas,GRL,Northern America,11,0
Grenada,Americas,GRD,Caribbean,22,0
Guam,Oceania,GUM,Micronesia,154,5
Guatemala,Americas,GTM,Central America,1763,33
Guernsey,Europe,GGY,Northern Europe,252,13
Guinea,Africa,GIN,Western Africa,2658,16
Guinea-Bissau,Africa,GNB,Western Africa,913,3
Guyana,Americas,GUY,South America,117,10
Haiti,Americas,HTI,Caribbean,358,20
Vatican,Europe,VAT,Southern Europe,12,0
Honduras,Americas,HND,Central America,2565,138
Hungary,Europe,HUN,Eastern Europe,3509,451
Iceland,Europe,ISL,Northern Europe,1802,10
India,Asia,IND,Southern Asia,90927,2872
Indonesia,Asia,IDN,South-Eastern Asia,17025,1089
Iran,Asia,IRN,Southern Asia,118392,6937
Iraq,Asia,IRQ,Western Asia,3260,121
Ireland,Europe,IRL,Northern Europe,24048,1533
Isle of Man,Europe,IMN,Northern Europe,335,24
Israel,Asia,ISR,Western Asia,16608,268
Italy,Europe,ITA,Southern Europe,224760,31763
Jamaica,Americas,JAM,Caribbean,517,9
Japan,Asia,JPN,Eastern Asia,16285,744
