Country,Continent,Happiness,Gini,GDP,CountryID
Albania,Europe,4.644000053,28.96,10405,ALB
Algeria,Africa,5.872000217,38.81666667,12893,DZA
Angola,Africa,3.795000076,42.66,7488,AGO
Argentina,South America,6.598999977,43.57,22982,ARG
Armenia,Asia,4.375999928,30.3,7527,ARM
Australia,Oceania,7.28399992,34.01,42831,AUS
Austria,Europe,7.006000042,30.04,44376,AUT
Azerbaijan,Asia,5.234000206,33.03,16594,AZE
Bahrain,Asia,6.086999893,29.00333333,42444,BHR
Bangladesh,Asia,4.607999802,32.12,2853,BGD
Belarus,Europe,5.568999767,26.46,17055,BLR
Belgium,Europe,6.890999794,33.14,40607,BEL
Botswana,Africa,3.766000032,60.46,15247,BWA
Brazil,South America,6.635000229,52.67,14555,BRA
Bulgaria,Europe,4.714000225,34.28,15695,BGR
Cambodia,Asia,4.168000221,31.82,2944,KHM
Canada,North America,7.315999985,33.68,41894,CAN
Chile,South America,6.65199995,50.84,21714,CHL
China,Asia,5.272999763,37.01207517,11525,CHN
Colombia,South America,6.356999874,53.53,12025,COL
Costa Rica,North America,7.078999996,48.61,13431,CRI
Croatia,Europe,5.293000221,33.61,20063,HRV
Cyprus,Europe,5.620999813,28.53333333,27394,CYP
Czech Republic,Europe,6.609000206,26.39,27959,CZE
Denmark,Europe,7.521999836,26.88,41991,DNK
Dominican Republic,North America,5.230000019,45.68,11795,DOM
Ecuador,South America,6.007999897,46.57,10541,ECU
Egypt,Africa,4.735000134,30.75,10733,EGY
El Salvador,North America,6.002999783,41.8,7515,SLV
Estonia,Europe,5.611000061,32.69,25132,EST
Ethiopia,Africa,4.460000038,33.6,1336,ETH
Finland,Europe,7.468999863,27.79,38846,FIN
France,Europe,6.441999912,31.69,37154,FRA
Georgia,Asia,4.285999775,41.35,6946,GEO
Germany,Europe,6.951000214,30.63,43207,DEU
Ghana,Africa,4.119999886,42.76,3864,GHA
Greece,Europe,5.227000237,34.74,24540,GRC
Guatemala,North America,6.453999996,52.35,7063,GTM
Hungary,Europe,5.323999882,28.94,22914,HUN
Iceland,Europe,7.504000187,26.3,41250,ISL
India,Asia,4.315000057,33.60168037,5238,IND
Indonesia,Asia,5.262000084,38.1406895,9254,IDN
Iran,Asia,4.691999912,38.28,15090,IRN
Iraq,Asia,4.497000217,29.54,14471,IRQ
Ireland,Europe,6.977000237,32.06,44931,IRL
Israel,Asia,7.212999821,42.78,30927,ISR
Italy,Europe,5.964000225,35.52,34167,ITA
Jamaica,North America,5.31099987,45.51,8607,JAM
Japan,Asia,5.920000076,32.11,35614,JPN
Jordan,Asia,5.335999966,33.69,11407,JOR
Kazakhstan,Asia,5.818999767,28.56,22467,KAZ
Kenya,Africa,4.552999973,47.68,2705,KEN
Kuwait,Asia,6.105000019,29.00333333,82358,KWT
Latvia,Europe,5.849999905,36.03,21825,LVA
Lebanon,Asia,5.224999905,37.67666667,16623,LBN
Lithuania,Europe,5.90199995,32.63,24483,LTU
Luxembourg,Europe,6.862999916,29.00333333,87737,LUX
Macedonia,Europe,5.175000191,44.2,11609,MKD
Malaysia,Asia,6.084000111,46.21,22589,MYS
Malta,Europe,6.52699995,28.53333333,28828,MLT
Mexico,North America,6.578000069,48.07,16291,MEX
Mongolia,Asia,4.954999924,36.52,9132,MNG
Mozambique,Africa,4.550000191,45.66,1070,MOZ
Namibia,Africa,4.573999882,61.32,9276,NAM
Nepal,Asia,4.961999893,32.82,2173,NPL
Netherlands,Europe,7.376999855,28.87,44945,NLD
New Zealand,Oceania,7.31400013,28.76333333,32808,NZL
Nigeria,Africa,5.073999882,42.95,5423,NGA
Norway,Europe,7.537000179,26.83,62448,NOR
Pakistan,Asia,5.269000053,29.63,4454,PAK
Panama,North America,6.452000141,51.9,18793,PAN
Paraguay,South America,5.493000031,48.01,7833,PRY
Peru,South America,5.715000153,45.33,11396,PER
Philippines,Asia,5.429999828,43.03,6326,PHL
Poland,Europe,5.97300005,32.78,22877,POL
Portugal,Europe,5.195000172,30.66333333,25596,PRT
Qatar,Asia,6.375,29.95,127562,QAT
Romania,Europe,5.824999809,27.33,18200,ROU
Russia,Asia,5.962999821,39.69,23564,RUS
Rwanda,Africa,3.470999956,50.82,1426,RWA
Saudi Arabia,Asia,6.343999863,29.00333333,52068,SAU
Singapore,Asia,6.572000027,29.95,76237,SGP
Slovakia,Europe,6.09800005,26.58,26263,SVK
Slovenia,Europe,5.757999897,24.87,27576,SVN
South Africa,Africa,4.828999996,65.02,12106,ZAF
Spain,Europe,6.402999878,35.75,31596,ESP
Sri Lanka,Asia,4.440000057,36.4,9426,LKA
Sweden,Europe,7.28399992,26.08,43741,SWE
Switzerland,Europe,7.493999958,32.35,54697,CHE
Thailand,Asia,6.423999786,39.37,13932,THA
Tunisia,Asia,4.804999828,35.79,10768,TUN
Turkey,Asia,5.5,40.04,18660,TUR
Uganda,Africa,4.080999851,44.55,1368,UGA
Ukraine,Europe,4.096000195,24.82,8508,UKR
United Arab Emirates,Asia,6.647999763,29.00333333,57045,ARE
United Kingdom,Europe,6.714000225,38.04,37017,GBR
United States,North America,6.993000031,41.12,51340,USA
Uruguay,South America,6.453999996,41.32,18966,URY
Uzbekistan,Asia,5.971000195,35.19,5002,UZB
Venezuela,South America,5.25,44.77,17615,VEN
Zambia,Africa,4.513999939,57.49,3800,ZMB
Zimbabwe,Africa,3.875,49.99333333,1773,ZWE
